order_id,user_id,order_month,category,amount,location
1083,51,January,Electronics,239.11,UK
1084,70,February,Electronics,244.56,UK
1085,27,February,Electronics,237.72,UK
1086,76,February,Electronics,240.17,UK
1087,72,March,Electronics,244.78,UK
1088,48,February,Electronics,238.7,UK
1089,60,March,Electronics,238.1,UK
1090,65,March,Electronics,235.34,UK
1091,36,March,Electronics,241.68,UK
1092,28,February,Electronics,244.21,UK
1093,19,March,Electronics,235.45,UK
1094,9,March,Electronics,237.01,UK
1095,30,January,Electronics,242.44,UK
1096,63,March,Electronics,236.31,UK
1097,17,January,Electronics,242.09,UK
1098,86,March,Electronics,244.99,UK
1099,58,March,Electronics,244.44,UK
1100,6,February,Electronics,240.93,UK
1101,55,March,Fashion,144.21,UK
1102,155,January,Fashion,140.84,UK
1103,166,March,Fashion,143.13,UK
1104,105,January,Fashion,142.68,UK
1105,75,January,Fashion,141.08,UK
1106,24,January,Fashion,140.34,UK
1107,133,February,Fashion,137.85,UK
1108,52,March,Fashion,136.24,UK
1109,38,March,Fashion,139.84,UK
1110,101,February,Fashion,138.67,UK
1111,100,February,Fashion,142.08,UK
1112,151,March,Fashion,144.52,UK
1113,141,March,Fashion,138.07,UK
1114,156,January,Fashion,143.21,UK
1115,2,January,Fashion,143.55,UK
1116,123,January,Fashion,135.46,UK
1117,123,March,Fashion,143.64,UK
1118,36,February,Fashion,139.76,UK
1119,114,February,Fashion,136.22,UK
1120,20,February,Fashion,141.56,UK
1121,106,January,Fashion,137.28,UK
1122,130,February,Fashion,139.6,UK
1123,17,March,Fashion,143.86,UK
1124,86,March,Fashion,142.93,UK
1125,138,February,Fashion,135.46,UK
1126,88,March,Fashion,135.68,UK
1127,169,February,Fashion,141.63,UK
1128,155,March,Fashion,137.29,UK
1129,79,February,Fashion,140.92,UK
1130,30,March,Fashion,138.3,UK
1131,83,January,Fashion,144.99,UK
1132,122,March,Fashion,142.09,UK
1133,161,March,Fashion,135.03,UK
1134,70,March,Fashion,142.7,UK
1135,86,March,Fashion,137.0,UK
1136,99,March,Fashion,141.89,UK
1137,115,January,Fashion,142.5,UK
1138,124,February,Fashion,137.38,UK
1139,97,January,Fashion,144.53,UK
1140,49,March,Fashion,140.85,UK
1141,47,February,Fashion,142.99,UK
1142,4,March,Fashion,144.35,UK
1143,142,February,Fashion,135.77,UK
1144,145,March,Fashion,141.64,UK
1145,42,January,Fashion,144.87,UK
1146,91,January,Fashion,137.52,UK
1147,118,March,Fashion,135.39,UK
1148,74,March,Fashion,144.86,UK
1149,17,March,Fashion,136.33,UK
1150,142,February,Fashion,136.76,UK
1151,118,March,Fashion,139.83,UK
1152,15,March,Fashion,141.36,UK
1153,39,February,Fashion,144.87,UK
1154,53,March,Fashion,136.0,UK
1155,101,March,Fashion,141.94,UK
1156,155,January,Fashion,135.01,UK
1157,53,January,Fashion,142.67,UK
1158,166,January,Fashion,138.2,UK
1159,141,February,Fashion,144.58,UK
1160,61,January,Fashion,136.95,UK
1161,54,January,Fashion,143.38,UK
1162,52,March,Fashion,139.87,UK
1163,72,March,Fashion,136.1,UK
1164,114,February,Fashion,138.51,UK
1165,16,March,Fashion,142.61,UK
1166,76,March,Fashion,138.9,UK
1167,87,January,Fashion,139.57,UK
1168,79,February,Fashion,136.07,UK
1169,164,February,Fashion,144.63,UK
1170,13,January,Fashion,144.88,UK
1171,125,March,Fashion,139.04,UK
1172,14,January,Fashion,143.68,UK
1173,41,March,Fashion,135.63,UK
1174,147,January,Fashion,141.84,UK
1175,64,February,Fashion,141.89,UK
1176,33,January,Fashion,138.14,UK
1177,4,January,Fashion,141.39,UK
1178,152,March,Fashion,141.41,UK
1179,78,February,Fashion,139.93,UK
1180,95,January,Fashion,143.56,UK
1181,10,March,Fashion,136.45,UK
1182,120,February,Fashion,139.21,UK
1183,13,February,Fashion,137.01,UK
1184,77,March,Fashion,144.79,UK
1185,143,January,Fashion,139.95,UK
1186,53,January,Fashion,138.74,UK
1187,111,March,Fashion,143.5,UK
1188,107,January,Fashion,141.94,UK
1189,164,January,Fashion,138.58,UK
1190,54,March,Fashion,138.74,UK
1191,123,January,Fashion,136.92,UK
1192,127,March,Fashion,142.82,UK
1193,14,February,Fashion,135.03,UK
1194,142,March,Fashion,144.31,UK
1195,63,January,Fashion,141.89,UK
1196,18,March,Fashion,137.53,UK
1197,168,January,Fashion,141.65,UK
1198,141,March,Fashion,139.77,UK
1199,20,January,Fashion,144.05,UK
1200,95,February,Fashion,138.06,UK
