id,tagline
146670,Free your mind.
330837,With great power comes great responsibility.
40940,You won't know until you've seen it.
560076,One ring to rule them all.
818505,Life is like a box of chocolates.
515396,Fight for what matters.
442748,"A long time ago in a galaxy far, far away."
45165,Into darkness.
100075,Fight for what matters.
919456,Enter the World of Pandora.
243916,You can't handle the truth!
16587,Enter the World of Pandora.
157551,"Houston, we have a problem."
496609,There and back again.
169737,One ring to rule them all.
459533,Nothing is what it seems.
220093,Part of the journey is the end.
469620,Collide with destiny.
956383,The battle begins.
117918,Beyond the horizon.
500515,The end is near.
832484,The final chapter.
800746,"Here's looking at you, kid."
410593,Free your mind.
806712,You had me at hello.
84788,The Legend Ends
622432,The final chapter.
819014,An unexpected journey.
293617,A new beginning.
987777,May the Force be with you.
281766,"Elementary, my dear Watson."
551480,Just when you thought it was safe to go back in the water.
651314,"Here's looking at you, kid."
108900,I am Groot.
352024,"Here's looking at you, kid."
671701,An unexpected journey.
852314,Whatever it takes.
420896,A Plan No One Escapes
10564,You can't handle the truth!
92351,Show me the money.
487377,Life is like a box of chocolates.
174974,Heroes are made.
984227,In space no one can hear you scream.
574610,Mankind was born on Earth. It was never meant to die here.
521802,The battle begins.
324554,Whatever it takes.
187040,I see dead people.
314792,Enter the World of Pandora.
758025,The end is near.
68137,Nothing is what it seems.
866792,In space no one can hear you scream.
181414,One ring to rule them all.
787890,Hakuna Matata.
886347,Heroes are made.
134726,Part of the journey is the end.
753029,"Go ahead, make my day."
782440,The battle begins.
862645,Everything changes.
131575,"Lost in our world, found in another."
354650,Mankind was born on Earth. It was never meant to die here.
37917,May the Force be with you.
390941,Enter the World of Pandora.
69602,The greatest adventure is what lies ahead.
535128,Nothing is what it seems.
663353,Everything changes.
667598,I am Iron Man.
806612,I am Iron Man.
419081,The Legend Ends
113266,A Plan No One Escapes
901077,Fight for what matters.
131308,Whatever it takes.
908720,Whatever it takes.
200057,The battle begins.
29059,Fight for what matters.
2434,The greatest adventure is what lies ahead.
831229,One ring to rule them all.
929602,I see dead people.
326032,With great power comes great responsibility.
810737,Wakanda forever.
102711,"Lost in our world, found in another."
939589,Show me the money.
111623,Nothing is what it seems.
856797,Everything changes.
810500,Saving the world takes everything.
290744,An unexpected journey.
402760,Heroes are made.
722381,"A long time ago in a galaxy far, far away."
511199,Into darkness.
600505,The battle begins.
139647,Wakanda forever.
693905,With great power comes great responsibility.
121188,There and back again.
554556,Fight for what matters.
340970,The final chapter.
237768,Hakuna Matata.
918634,Life is like a box of chocolates.
528867,I am Iron Man.
759738,Everything changes.
5996,Just when you thought it was safe to go back in the water.
894665,The final chapter.
920689,The greatest adventure is what lies ahead.
484468,Just keep swimming.
406306,You can't handle the truth!
960509,A Plan No One Escapes
387416,The Legend Ends
565949,Collide with destiny.
849898,I am Iron Man.
616500,Beyond the horizon.
903684,I am Groot.
982032,"At the end of the world, the adventure begins."
627840,Into darkness.
86128,Into darkness.
135164,One ring to rule them all.
140084,With great power comes great responsibility.
330104,The final chapter.
918830,To infinity and beyond!
928235,Nothing is what it seems.
707865,Fight for what matters.
519325,Beyond the horizon.
209000,You had me at hello.
137555,Nothing is what it seems.
958219,"Go ahead, make my day."
874970,Wakanda forever.
232441,Part of the journey is the end.
673063,May the Force be with you.
494041,"A long time ago in a galaxy far, far away."
35359,You had me at hello.
543166,"A long time ago in a galaxy far, far away."
207545,Just when you thought it was safe to go back in the water.
661300,Show me the money.
126496,Free your mind.
812153,Free your mind.
312989,Your mind is the scene of the crime.
513717,"Here's looking at you, kid."
97944,I'll be back.
582345,Nothing is what it seems.
665388,I am Iron Man.
907620,Beyond the horizon.
693593,Beyond the horizon.
467889,"Lost in our world, found in another."
3286,The final chapter.
462340,The final chapter.
909771,Whatever it takes.
698227,With great power comes great responsibility.
233393,In space no one can hear you scream.
238377,A Plan No One Escapes
997224,Your mind is the scene of the crime.
637790,I see dead people.
799333,An unexpected journey.
110524,"Elementary, my dear Watson."
329594,I am Groot.
968860,The Legend Ends
248205,The final chapter.
284372,Hakuna Matata.
807541,Show me the money.
165817,Fight for what matters.
30494,"Go ahead, make my day."
451906,The end is near.
850888,I'll be back.
421490,Part of the journey is the end.
916873,The final chapter.
698149,You won't know until you've seen it.
312693,The greatest adventure is what lies ahead.
631017,Whatever it takes.
183722,Part of the journey is the end.
26997,"At the end of the world, the adventure begins."
337120,"At the end of the world, the adventure begins."
149909,Whatever it takes.
871261,Be afraid. Be very afraid.
418406,Everything changes.
209598,An unexpected journey.
314547,Why so serious?
883526,You had me at hello.
441242,There and back again.
587574,Just when you thought it was safe to go back in the water.
680280,You can't handle the truth!
104805,Nothing is what it seems.
179851,"Elementary, my dear Watson."
788767,You had me at hello.
55002,An unexpected journey.
78762,Into darkness.
739623,You can't handle the truth!
613628,"Houston, we have a problem."
445678,"Go ahead, make my day."
608455,An unexpected journey.
479106,The Legend Ends
500678,Everything changes.
906785,Mankind was born on Earth. It was never meant to die here.
356683,The greatest adventure is what lies ahead.
536944,Your mind is the scene of the crime.
50225,I am Groot.
420812,An unexpected journey.
91905,Life is like a box of chocolates.
831708,You had me at hello.
58108,Hakuna Matata.
564813,The greatest adventure is what lies ahead.
159082,Heroes are made.
912303,The final chapter.
339770,Collide with destiny.
860018,Beyond the horizon.
22004,The Legend Ends
456010,I am Iron Man.
438662,"Here's looking at you, kid."
60032,Nothing is what it seems.
573346,The greatest adventure is what lies ahead.
462639,May the Force be with you.
184634,Into darkness.
645458,Be afraid. Be very afraid.
539312,A new beginning.
620369,"Go ahead, make my day."
952041,"Elementary, my dear Watson."
752062,Beyond the horizon.
121723,To infinity and beyond!
234016,Just keep swimming.
228515,You had me at hello.
755263,With great power comes great responsibility.
631189,May the Force be with you.
718450,There and back again.
195865,Hakuna Matata.
831380,Part of the journey is the end.
933717,Collide with destiny.
347242,Why so serious?
757779,The battle begins.
221209,Heroes are made.
272677,"Lost in our world, found in another."
181968,"Here's looking at you, kid."
520478,Just keep swimming.
615358,"Lost in our world, found in another."
597145,In space no one can hear you scream.
771544,One ring to rule them all.
733644,Be afraid. Be very afraid.
52226,You had me at hello.
116607,I am Iron Man.
499122,"Lost in our world, found in another."
927124,"Here's looking at you, kid."
105801,There and back again.
902205,May the Force be with you.
553092,Hakuna Matata.
794121,Heroes are made.
323093,An unexpected journey.
370893,An unexpected journey.
639343,I see dead people.
533881,I see dead people.
232263,"Here's looking at you, kid."
944472,You can't handle the truth!
67968,You won't know until you've seen it.
588516,An unexpected journey.
347418,Mankind was born on Earth. It was never meant to die here.
213746,Be afraid. Be very afraid.
131334,Just keep swimming.
13405,The end is near.
397515,The final chapter.
461233,An unexpected journey.
343932,A Plan No One Escapes
638086,Hakuna Matata.
557429,The Legend Ends
448762,Be afraid. Be very afraid.
399759,I am Iron Man.
499225,Enter the World of Pandora.
993012,The Legend Ends
174501,The greatest adventure is what lies ahead.
30499,With great power comes great responsibility.
228209,The end is near.
966135,Hakuna Matata.
497053,A Plan No One Escapes
914024,The greatest adventure is what lies ahead.
718626,Enter the World of Pandora.
798863,I am Iron Man.
805904,A new beginning.
207038,I am Iron Man.
493715,The Legend Ends
511859,I see dead people.
198970,Why so serious?
392331,Whatever it takes.
972430,Your mind is the scene of the crime.
461782,One ring to rule them all.
342032,Into darkness.
508872,"Go ahead, make my day."
7395,Wakanda forever.
249658,A Plan No One Escapes
315806,With great power comes great responsibility.
625670,An unexpected journey.
923988,You won't know until you've seen it.
207089,Nothing is what it seems.
289540,Collide with destiny.
547592,I am Iron Man.
197077,You can't handle the truth!
993421,Your mind is the scene of the crime.
695406,I see dead people.
814232,Collide with destiny.
849711,The final chapter.
601196,A Plan No One Escapes
16071,You had me at hello.
412157,The end is near.
278299,Saving the world takes everything.
502016,You had me at hello.
528858,May the Force be with you.
100369,May the Force be with you.
459327,The battle begins.
90167,"Elementary, my dear Watson."
940644,Saving the world takes everything.
378757,"Lost in our world, found in another."
446417,The Legend Ends
183566,Your mind is the scene of the crime.
39768,You had me at hello.
363912,One ring to rule them all.
19920,Why so serious?
418998,I am Groot.
759775,The greatest adventure is what lies ahead.
178134,Beyond the horizon.
249479,Fight for what matters.
73855,Whatever it takes.
683537,Wakanda forever.
952583,"At the end of the world, the adventure begins."
899670,The greatest adventure is what lies ahead.
584405,Hakuna Matata.
259664,One ring to rule them all.
314768,An unexpected journey.
121989,A Plan No One Escapes
518901,Mankind was born on Earth. It was never meant to die here.
626034,Wakanda forever.
841012,Life is like a box of chocolates.
526414,Beyond the horizon.
281620,With great power comes great responsibility.
919326,"Houston, we have a problem."
751936,To infinity and beyond!
396262,Saving the world takes everything.
551553,"Elementary, my dear Watson."
113167,Why so serious?
562799,"Houston, we have a problem."
180790,The greatest adventure is what lies ahead.
503442,I'll be back.
375793,I see dead people.
391155,Life is like a box of chocolates.
666488,Beyond the horizon.
136050,Show me the money.
933004,"Here's looking at you, kid."
173033,One ring to rule them all.
321734,Heroes are made.
769481,In space no one can hear you scream.
535917,"Lost in our world, found in another."
114229,Part of the journey is the end.
597009,"Here's looking at you, kid."
146759,The battle begins.
433790,You had me at hello.
444166,To infinity and beyond!
156171,The end is near.
700077,Nothing is what it seems.
108892,Beyond the horizon.
803535,Hakuna Matata.
631987,Whatever it takes.
125395,Your mind is the scene of the crime.
855720,"A long time ago in a galaxy far, far away."
337449,Show me the money.
435810,Your mind is the scene of the crime.
257700,You won't know until you've seen it.
119685,The Legend Ends
484311,One ring to rule them all.
744905,With great power comes great responsibility.
626990,The Legend Ends
66189,With great power comes great responsibility.
562211,In space no one can hear you scream.
563456,One ring to rule them all.
24110,Your mind is the scene of the crime.
228813,"Lost in our world, found in another."
642499,Why so serious?
214595,"At the end of the world, the adventure begins."
860871,With great power comes great responsibility.
866106,Wakanda forever.
268735,"Go ahead, make my day."
16799,Everything changes.
349817,"Lost in our world, found in another."
617773,An unexpected journey.
558318,Saving the world takes everything.
476129,"A long time ago in a galaxy far, far away."
786639,Life is like a box of chocolates.
228964,Collide with destiny.
593069,Wakanda forever.
768511,Enter the World of Pandora.
942935,I am Iron Man.
201512,Into darkness.
37845,An unexpected journey.
988943,An unexpected journey.
243496,There and back again.
839917,In space no one can hear you scream.
422398,The end is near.
886232,You can't handle the truth!
201917,Everything changes.
77970,A Plan No One Escapes
670534,With great power comes great responsibility.
8284,An unexpected journey.
906892,Heroes are made.
771800,There and back again.
622638,Mankind was born on Earth. It was never meant to die here.
909271,Heroes are made.
111384,Be afraid. Be very afraid.
232125,The end is near.
533216,There and back again.
377704,There and back again.
1338,"Lost in our world, found in another."
860712,Your mind is the scene of the crime.
773894,"Lost in our world, found in another."
936903,Enter the World of Pandora.
575478,Why so serious?
980730,Everything changes.
482492,Life is like a box of chocolates.
590845,I am Iron Man.
135361,Fight for what matters.
924270,Just keep swimming.
205134,Part of the journey is the end.
822034,The Legend Ends
311177,I am Iron Man.
394322,I am Groot.
761023,Be afraid. Be very afraid.
867147,One ring to rule them all.
373491,A new beginning.
921685,"Houston, we have a problem."
245898,An unexpected journey.
592901,Nothing is what it seems.
213450,I'll be back.
322522,Hakuna Matata.
636278,Everything changes.
275769,Collide with destiny.
405913,Saving the world takes everything.
509403,"Lost in our world, found in another."
929356,Why so serious?
87246,Beyond the horizon.
557404,One ring to rule them all.
420076,You had me at hello.
535998,To infinity and beyond!
539282,"Here's looking at you, kid."
384124,"Lost in our world, found in another."
112745,"Go ahead, make my day."
339994,Show me the money.
110219,I see dead people.
560999,"A long time ago in a galaxy far, far away."
456713,Just when you thought it was safe to go back in the water.
246241,One ring to rule them all.
672855,I am Iron Man.
884619,Mankind was born on Earth. It was never meant to die here.
780883,Just when you thought it was safe to go back in the water.
909583,In space no one can hear you scream.
429380,The end is near.
289806,Heroes are made.
725537,I am Iron Man.
672995,"Elementary, my dear Watson."
210540,Whatever it takes.
463056,Show me the money.
138857,Your mind is the scene of the crime.
266843,Free your mind.
613392,"A long time ago in a galaxy far, far away."
413512,Everything changes.
264042,In space no one can hear you scream.
964687,With great power comes great responsibility.
501613,Show me the money.
157693,With great power comes great responsibility.
94325,I am Groot.
718976,Saving the world takes everything.
138870,I am Iron Man.
921734,The battle begins.
759631,"Go ahead, make my day."
677494,Wakanda forever.
31186,One ring to rule them all.
164622,Your mind is the scene of the crime.
596891,"A long time ago in a galaxy far, far away."
519377,The battle begins.
505829,"At the end of the world, the adventure begins."
991536,I see dead people.
323584,Nothing is what it seems.
365728,Be afraid. Be very afraid.
870243,You can't handle the truth!
890469,I am Groot.
361246,Mankind was born on Earth. It was never meant to die here.
929010,There and back again.
725442,A new beginning.
847283,Nothing is what it seems.
903696,Collide with destiny.
266125,I am Iron Man.
390706,Just when you thought it was safe to go back in the water.
828100,Part of the journey is the end.
367367,Into darkness.
603106,An unexpected journey.
361941,I am Iron Man.
942374,I am Iron Man.
981929,An unexpected journey.
944036,Part of the journey is the end.
914338,You had me at hello.
219110,Heroes are made.
915366,"Go ahead, make my day."
196197,"Elementary, my dear Watson."
795984,Just keep swimming.
15126,"Here's looking at you, kid."
339174,Wakanda forever.
297182,I see dead people.
932482,"Go ahead, make my day."
796998,Hakuna Matata.
373713,Everything changes.
582304,You can't handle the truth!
317825,To infinity and beyond!
372869,The final chapter.
176174,Hakuna Matata.
860555,Enter the World of Pandora.
172517,Life is like a box of chocolates.
35766,Heroes are made.
583308,You won't know until you've seen it.
974402,Nothing is what it seems.
75129,Why so serious?
355524,Collide with destiny.
106908,Part of the journey is the end.
779949,An unexpected journey.
970371,Hakuna Matata.
250923,Whatever it takes.
963057,"Here's looking at you, kid."
664083,I am Iron Man.
317012,Be afraid. Be very afraid.
332670,Into darkness.
939634,"Go ahead, make my day."
70690,I am Groot.
885733,Collide with destiny.
830104,Be afraid. Be very afraid.
996374,There and back again.
882695,Collide with destiny.
976036,The final chapter.
369859,Be afraid. Be very afraid.
293249,Beyond the horizon.
105585,An unexpected journey.
115443,Why so serious?
65213,Wakanda forever.
233556,I see dead people.
686469,Collide with destiny.
765139,"Elementary, my dear Watson."
434212,Everything changes.
625582,In space no one can hear you scream.
759483,Into darkness.
286704,To infinity and beyond!
190544,"Elementary, my dear Watson."
71590,"At the end of the world, the adventure begins."
514163,Be afraid. Be very afraid.
655663,Just when you thought it was safe to go back in the water.
731961,The Legend Ends
783442,"A long time ago in a galaxy far, far away."
292266,I am Iron Man.
337530,Fight for what matters.
705419,Why so serious?
945681,Free your mind.
790604,To infinity and beyond!
160993,Your mind is the scene of the crime.
673308,Just when you thought it was safe to go back in the water.
64882,A Plan No One Escapes
952813,Why so serious?
541212,I see dead people.
458390,Nothing is what it seems.
852126,Just when you thought it was safe to go back in the water.
211038,"Houston, we have a problem."
641296,I am Groot.
328658,To infinity and beyond!
261248,"A long time ago in a galaxy far, far away."
757438,Your mind is the scene of the crime.
943030,I am Iron Man.
894800,The final chapter.
541237,Wakanda forever.
406555,The Legend Ends
139701,I am Iron Man.
543572,The end is near.
828360,To infinity and beyond!
37617,To infinity and beyond!
13041,Fight for what matters.
562915,Whatever it takes.
878484,Be afraid. Be very afraid.
647765,"Here's looking at you, kid."
689437,Whatever it takes.
110364,Your mind is the scene of the crime.
736270,The Legend Ends
242561,The greatest adventure is what lies ahead.
665795,The battle begins.
2185,Show me the money.
970644,The final chapter.
640100,"A long time ago in a galaxy far, far away."
610619,A Plan No One Escapes
735208,Hakuna Matata.
849896,Just when you thought it was safe to go back in the water.
927770,"Here's looking at you, kid."
420501,The Legend Ends
983765,I'll be back.
991937,Be afraid. Be very afraid.
364004,Just keep swimming.
255667,I am Groot.
217174,Beyond the horizon.
537569,The greatest adventure is what lies ahead.
116007,Beyond the horizon.
44561,An unexpected journey.
101227,Everything changes.
798636,Into darkness.
798082,"Lost in our world, found in another."
62490,"At the end of the world, the adventure begins."
607972,Fight for what matters.
173098,Fight for what matters.
310989,The Legend Ends
616024,In space no one can hear you scream.
417409,Beyond the horizon.
279538,Life is like a box of chocolates.
541047,Just keep swimming.
472492,Collide with destiny.
551753,The battle begins.
589747,Show me the money.
156947,You had me at hello.
989330,Free your mind.
623110,An unexpected journey.
832608,"A long time ago in a galaxy far, far away."
50134,"Elementary, my dear Watson."
62841,A new beginning.
631346,May the Force be with you.
420953,Enter the World of Pandora.
662449,Fight for what matters.
649649,An unexpected journey.
978359,I am Iron Man.
432223,Hakuna Matata.
556524,You had me at hello.
811504,The greatest adventure is what lies ahead.
822755,One ring to rule them all.
101322,One ring to rule them all.
165752,Into darkness.
718268,One ring to rule them all.
71077,Fight for what matters.
856834,Beyond the horizon.
848168,Just when you thought it was safe to go back in the water.
56211,Free your mind.
182254,To infinity and beyond!
384957,Fight for what matters.
273879,To infinity and beyond!
328278,Whatever it takes.
970959,Why so serious?
761802,"At the end of the world, the adventure begins."
395418,To infinity and beyond!
894766,I'll be back.
392150,A Plan No One Escapes
420041,To infinity and beyond!
248494,Hakuna Matata.
888708,One ring to rule them all.
763136,An unexpected journey.
276796,Enter the World of Pandora.
450959,"Lost in our world, found in another."
408409,Hakuna Matata.
593066,In space no one can hear you scream.
239058,You had me at hello.
463834,Everything changes.
679679,"Houston, we have a problem."
453371,To infinity and beyond!
199948,The end is near.
465106,The final chapter.
435825,Be afraid. Be very afraid.
922971,With great power comes great responsibility.
229585,Free your mind.
122003,A new beginning.
377979,"Here's looking at you, kid."
536333,Everything changes.
475091,To infinity and beyond!
422611,Be afraid. Be very afraid.
46035,Show me the money.
513692,May the Force be with you.
872521,The end is near.
663846,I am Groot.
271643,Just when you thought it was safe to go back in the water.
915803,A Plan No One Escapes
934951,I am Iron Man.
38762,Just when you thought it was safe to go back in the water.
8758,A Plan No One Escapes
159966,"At the end of the world, the adventure begins."
69853,"Elementary, my dear Watson."
580475,Show me the money.
832913,The final chapter.
422057,To infinity and beyond!
863828,Heroes are made.
325220,Collide with destiny.
30022,Part of the journey is the end.
694213,"Houston, we have a problem."
336287,To infinity and beyond!
731769,Be afraid. Be very afraid.
488977,Just when you thought it was safe to go back in the water.
569474,Just keep swimming.
243166,Your mind is the scene of the crime.
820921,"Houston, we have a problem."
110806,Beyond the horizon.
613511,Into darkness.
467159,A Plan No One Escapes
567384,Life is like a box of chocolates.
642513,Collide with destiny.
299365,Just when you thought it was safe to go back in the water.
765636,Enter the World of Pandora.
658163,Just when you thought it was safe to go back in the water.
463866,Nothing is what it seems.
193695,In space no one can hear you scream.
838783,The Legend Ends
879658,Wakanda forever.
572191,Whatever it takes.
579635,Be afraid. Be very afraid.
535354,Just keep swimming.
863664,Part of the journey is the end.
278693,Wakanda forever.
641742,You won't know until you've seen it.
376676,You won't know until you've seen it.
485500,Whatever it takes.
286185,"Go ahead, make my day."
812936,The end is near.
990863,Just keep swimming.
71319,Saving the world takes everything.
497657,An unexpected journey.
299236,Wakanda forever.
335553,The Legend Ends
138447,Into darkness.
162243,Saving the world takes everything.
223841,The final chapter.
178,The battle begins.
939995,An unexpected journey.
893935,Mankind was born on Earth. It was never meant to die here.
623436,Nothing is what it seems.
633418,"Here's looking at you, kid."
107420,"A long time ago in a galaxy far, far away."
162408,Hakuna Matata.
744436,You can't handle the truth!
775551,"At the end of the world, the adventure begins."
150747,There and back again.
360589,You won't know until you've seen it.
991594,Hakuna Matata.
447178,Nothing is what it seems.
573546,Collide with destiny.
502759,"Houston, we have a problem."
837780,The greatest adventure is what lies ahead.
352695,Why so serious?
964377,One ring to rule them all.
99866,The greatest adventure is what lies ahead.
387763,You won't know until you've seen it.
132231,"Houston, we have a problem."
484968,"Lost in our world, found in another."
471024,A new beginning.
83162,"Lost in our world, found in another."
451020,May the Force be with you.
680977,You won't know until you've seen it.
572309,Nothing is what it seems.
472635,You won't know until you've seen it.
10948,Just keep swimming.
668919,Beyond the horizon.
401346,"At the end of the world, the adventure begins."
179254,"At the end of the world, the adventure begins."
440829,Collide with destiny.
132234,Show me the money.
117707,Into darkness.
613876,The final chapter.
338789,Part of the journey is the end.
995229,Why so serious?
640809,I am Groot.
812323,"Go ahead, make my day."
29373,Why so serious?
176936,"Elementary, my dear Watson."
955116,Mankind was born on Earth. It was never meant to die here.
585155,To infinity and beyond!
731185,Heroes are made.
263690,In space no one can hear you scream.
195638,A Plan No One Escapes
501319,I am Groot.
70572,May the Force be with you.
853041,Just keep swimming.
306770,I'll be back.
998655,I am Iron Man.
777912,Into darkness.
254043,Into darkness.
130342,Wakanda forever.
16681,Part of the journey is the end.
943501,The Legend Ends
681354,Life is like a box of chocolates.
569083,"Houston, we have a problem."
63756,To infinity and beyond!
258665,You can't handle the truth!
186746,Enter the World of Pandora.
750357,"Go ahead, make my day."
342089,The final chapter.
475934,I'll be back.
202317,A new beginning.
281648,Fight for what matters.
650702,Saving the world takes everything.
581265,I am Iron Man.
679266,"Go ahead, make my day."
307313,Part of the journey is the end.
901637,An unexpected journey.
554237,May the Force be with you.
197804,There and back again.
53664,"A long time ago in a galaxy far, far away."
200523,"At the end of the world, the adventure begins."
812769,You won't know until you've seen it.
173132,You had me at hello.
675516,Just when you thought it was safe to go back in the water.
591655,Your mind is the scene of the crime.
339895,Hakuna Matata.
383758,Part of the journey is the end.
725789,You won't know until you've seen it.
48700,Into darkness.
187908,Part of the journey is the end.
488091,I am Groot.
860965,Heroes are made.
194670,"A long time ago in a galaxy far, far away."
947101,The greatest adventure is what lies ahead.
778683,"Houston, we have a problem."
994464,You can't handle the truth!
360710,Just when you thought it was safe to go back in the water.
310010,You had me at hello.
855208,Enter the World of Pandora.
800710,One ring to rule them all.
816584,To infinity and beyond!
776003,The final chapter.
195619,"Houston, we have a problem."
326734,Enter the World of Pandora.
763905,The greatest adventure is what lies ahead.
703159,I see dead people.
736211,"Elementary, my dear Watson."
146922,Life is like a box of chocolates.
992272,Collide with destiny.
622326,You won't know until you've seen it.
435304,There and back again.
210594,May the Force be with you.
591135,Just keep swimming.
544039,To infinity and beyond!
362930,Your mind is the scene of the crime.
565593,Just when you thought it was safe to go back in the water.
267530,The battle begins.
197487,I'll be back.
288641,Just keep swimming.
467837,Beyond the horizon.
190397,Beyond the horizon.
104715,You won't know until you've seen it.
433067,Whatever it takes.
816378,May the Force be with you.
304786,To infinity and beyond!
663231,Show me the money.
350205,Mankind was born on Earth. It was never meant to die here.
533447,An unexpected journey.
144409,Life is like a box of chocolates.
540084,The battle begins.
99245,May the Force be with you.
857180,"At the end of the world, the adventure begins."
620029,Part of the journey is the end.
439692,Free your mind.
341371,I am Iron Man.
58124,Collide with destiny.
834084,"Elementary, my dear Watson."
370982,"Houston, we have a problem."
997229,Enter the World of Pandora.
692200,Heroes are made.
691442,Be afraid. Be very afraid.
894882,May the Force be with you.
1812,Enter the World of Pandora.
380329,"Houston, we have a problem."
617458,"Elementary, my dear Watson."
106619,"A long time ago in a galaxy far, far away."
333272,I am Groot.
209768,Into darkness.
111289,A Plan No One Escapes
227255,A new beginning.
392154,"Here's looking at you, kid."
371973,Free your mind.
817246,Wakanda forever.
754954,The end is near.
329268,Free your mind.
455836,Whatever it takes.
262711,In space no one can hear you scream.
312740,Whatever it takes.
597456,May the Force be with you.
465359,To infinity and beyond!
359589,Everything changes.
525811,In space no one can hear you scream.
263838,Saving the world takes everything.
47307,Free your mind.
803752,I am Iron Man.
881907,I'll be back.
953136,There and back again.
190525,Free your mind.
83841,With great power comes great responsibility.
926604,Show me the money.
312323,"Go ahead, make my day."
175654,"A long time ago in a galaxy far, far away."
771686,Nothing is what it seems.
945805,May the Force be with you.
28487,I see dead people.
1272,Life is like a box of chocolates.
275962,"Houston, we have a problem."
908375,I am Iron Man.
611963,A Plan No One Escapes
569092,Wakanda forever.
885961,Fight for what matters.
609561,Whatever it takes.
292972,"Lost in our world, found in another."
157967,"At the end of the world, the adventure begins."
988196,There and back again.
903309,Just keep swimming.
200209,Show me the money.
913477,"Elementary, my dear Watson."
542606,Just when you thought it was safe to go back in the water.
295850,The greatest adventure is what lies ahead.
180967,Saving the world takes everything.
143055,A Plan No One Escapes
257578,"At the end of the world, the adventure begins."
604527,In space no one can hear you scream.
790093,Into darkness.
51682,Enter the World of Pandora.
932712,An unexpected journey.
112778,Part of the journey is the end.
235952,I'll be back.
146846,"Here's looking at you, kid."
444335,A new beginning.
34635,An unexpected journey.
960045,Why so serious?
704292,Life is like a box of chocolates.
8400,Beyond the horizon.
289245,An unexpected journey.
976712,In space no one can hear you scream.
592429,I am Groot.
846012,Free your mind.
428053,Show me the money.
752568,You can't handle the truth!
918564,"Go ahead, make my day."
410676,"At the end of the world, the adventure begins."
581752,Life is like a box of chocolates.
112530,Whatever it takes.
120898,One ring to rule them all.
144812,Enter the World of Pandora.
294193,"Here's looking at you, kid."
152679,I'll be back.
37363,The battle begins.
404613,With great power comes great responsibility.
13083,Collide with destiny.
367189,Your mind is the scene of the crime.
108412,In space no one can hear you scream.
146554,With great power comes great responsibility.
519783,Heroes are made.
