account,ward,aid,business,address,zip
716054,20,576.0,SAMS CLUB,7731 N MICHIGAN AVE,60631
678516,41,970.0,CELINA DELI,6380 S PULASKI RD,60619
907410,15,545.0,PIZZA HUT,782 N WESTERN AVE,60632
918123,9,154.0,GIORDANOS,4300 W 43RD ST,60624
659462,49,113.0,PIZZA HUT,7484 S HALSTED ST,60634
272318,9,872.0,POTBELLY,8399 W DEVON AVE,60612
253676,31,773.0,POTBELLY,7976 W 43RD ST,60620
429844,10,389.0,SPEEDWAY,6968 S PULASKI RD,60636
832097,42,469.0,KRAFT FOODS,3875 N CLARK ST,60640
565659,18,765.0,PIZZA HUT,3248 N CLARK ST,60609
722522,40,599.0,BUONA BEEF,1941 W MADISON ST,60610
21496,13,664.0,LOU MALNATIS,5994 W MADISON ST,60608
184915,45,741.0,MARIANO'S,7639 N CLARK ST,60635
489875,40,104.0,HOME DEPOT,6611 N CICERO AVE,60601
537578,1,854.0,CELINA DELI,9963 W DEVON AVE,60611
933455,29,975.0,SPEEDWAY,4465 N SOUTHPORT AVE,60634
828440,1,330.0,BP GAS STATION,5295 N CLARK ST,60602
683233,17,470.0,GIORDANOS,7093 N BROADWAY,60615
607011,44,558.0,PIZZA HUT,7538 S WABASH AVE,60626
537003,42,463.0,KRAFT FOODS,8148 W 63RD ST,60620
510778,50,165.0,MCDONALD'S,623 W IRVING PARK RD,60626
258265,35,994.0,KRAFT FOODS,3682 W NORTH AVE,60607
956457,11,885.0,HOME DEPOT,1434 S STATE ST,60605
923300,41,991.0,PORTILLOS,9833 S ARCHER AVE,60639
187472,46,648.0,KRAFT FOODS,7210 N BROADWAY,60639
629558,37,960.0,BUONA BEEF,9072 N CLARK ST,60636
933085,48,235.0,LOU MALNATIS,8048 W IRVING PARK RD,60637
429100,27,137.0,MARIANO'S,8761 S STATE ST,60637
701607,9,434.0,KRAFT FOODS,644 N BROADWAY,60628
812819,19,618.0,PORTILLOS,8307 S HALSTED ST,60601
471492,4,725.0,PORTILLOS,8074 S WABASH AVE,60615
954582,48,903.0,PIZZA HUT,7700 W 63RD ST,60616
61827,43,854.0,MCDONALD'S,9055 S ARCHER AVE,60629
362633,47,542.0,AUTOZONE,9804 S STATE ST,60609
341088,25,430.0,COSTCO,6449 N CLARK ST,60619
793850,30,461.0,MCDONALD'S,1235 N SOUTHPORT AVE,60617
97506,14,388.0,WHOLE FOODS,2724 S COTTAGE GROVE AVE,60618
453192,27,947.0,MCDONALD'S,3619 S PULASKI RD,60613
296511,33,433.0,LOWES,1404 S STATE ST,60617
35279,27,349.0,KRAFT FOODS,9807 N CICERO AVE,60631
946438,43,638.0,MCDONALD'S,4681 W 63RD ST,60606
685240,36,365.0,BUONA BEEF,7984 W MADISON ST,60631
535263,3,158.0,TRADER JOES,8595 S STATE ST,60624
207040,29,146.0,WALMART,5879 N WESTERN AVE,60637
254558,20,940.0,SAMS CLUB,229 S HOUSTON AVE,60623
788265,18,639.0,KRAFT FOODS,9056 N MICHIGAN AVE,60632
709241,38,790.0,ALDI,8541 S STATE ST,60611
18644,16,862.0,SHELL STATION,7352 W 43RD ST,60611
582951,8,481.0,KRAFT FOODS,6241 S STATE ST,60640
331298,41,515.0,HONEYBEERS,4058 S COTTAGE GROVE AVE,60631
556703,36,685.0,ALDI,8615 S ARCHER AVE,60626
858611,21,372.0,KRAFT FOODS,749 W 43RD ST,60606
608486,1,111.0,CELINA DELI,1621 S PULASKI RD,60621
775313,37,466.0,CELINA DELI,6188 S STATE ST,60615
906987,50,182.0,DOMINICKS,2183 W 63RD ST,60615
517849,16,292.0,ALDI,1134 W DEVON AVE,60617
449945,42,437.0,MARIANO'S,9509 S HALSTED ST,60602
242807,24,557.0,CVS PHARMACY,8906 N WESTERN AVE,60637
344936,38,704.0,TONY'S FINER FOODS,6031 S HOUSTON AVE,60632
493446,35,982.0,BP GAS STATION,7504 S COTTAGE GROVE AVE,60637
956151,28,524.0,REGGIE'S BAR & GRILL,3130 W 43RD ST,60638
595034,41,408.0,MCDONALD'S,1683 N SOUTHPORT AVE,60611
884358,49,241.0,SHELL STATION,4590 S HALSTED ST,60625
938279,5,217.0,TARGET,465 N MICHIGAN AVE,60627
612443,8,851.0,SHELL STATION,8558 S PULASKI RD,60622
814558,25,937.0,JEWEL OSCO,2662 W IRVING PARK RD,60618
399214,1,167.0,TRADER JOES,7911 N BROADWAY,60617
533799,12,102.0,PIZZA HUT,5509 S COTTAGE GROVE AVE,60618
943866,50,994.0,WALGREENS,188 S HOUSTON AVE,60640
150575,49,380.0,POTBELLY,7942 N CICERO AVE,60620
809111,32,724.0,ADVANCE AUTO,2502 S ARCHER AVE,60631
919802,32,325.0,SEVEN ELEVEN,3484 N MICHIGAN AVE,60631
725177,4,593.0,STARBUCKS,4502 S COTTAGE GROVE AVE,60619
380731,3,384.0,NEYBOUR'S TAVERN,859 S ARCHER AVE,60627
653903,40,798.0,TARGET,6744 N MICHIGAN AVE,60627
650038,36,768.0,TONY'S FINER FOODS,738 W 43RD ST,60606
48452,36,566.0,KRAFT FOODS,372 S ARCHER AVE,60609
210045,41,392.0,SUBWAY,2878 S ARCHER AVE,60636
858301,40,989.0,TONY'S FINER FOODS,9939 N WESTERN AVE,60631
305308,12,309.0,TRADER JOES,7202 W MADISON ST,60627
481856,42,143.0,CELINA DELI,1344 N MICHIGAN AVE,60601
776017,21,773.0,CELINA DELI,2599 N SOUTHPORT AVE,60626
287953,31,950.0,GIORDANOS,6237 W CHICAGO AVE,60625
548728,34,794.0,TRADER JOES,9922 W MADISON ST,60633
833462,5,109.0,REGGIE'S BAR & GRILL,3022 N CLARK ST,60621
334777,20,410.0,PORTILLOS,3327 S WABASH AVE,60606
839362,50,230.0,GIORDANOS,3435 N MICHIGAN AVE,60640
300551,49,143.0,SAMS CLUB,5283 N CLARK ST,60635
66393,39,800.0,TONY'S FINER FOODS,8803 S HOUSTON AVE,60603
927280,43,581.0,TARGET,5719 S PULASKI RD,60613
871970,38,417.0,PIZZA HUT,8345 N BROADWAY,60633
804531,13,860.0,ADVANCE AUTO,8517 S PULASKI RD,60620
759514,45,918.0,SPEEDWAY,1314 N SOUTHPORT AVE,60638
775630,41,889.0,COSTCO,357 S COTTAGE GROVE AVE,60633
445921,34,816.0,GIORDANOS,6330 W IRVING PARK RD,60607
531910,31,778.0,BP GAS STATION,850 S STATE ST,60638
113242,44,833.0,TRADER JOES,4713 W DEVON AVE,60630
458629,40,427.0,POTBELLY,1133 N CICERO AVE,60639
70724,48,243.0,JEWEL OSCO,6376 W MADISON ST,60638
837948,24,731.0,ADVANCE AUTO,1972 N CLARK ST,60614
371635,18,320.0,ALDI,5290 N MICHIGAN AVE,60623
422454,32,539.0,STARBUCKS,6067 S PULASKI RD,60615
46708,49,286.0,SHELL STATION,4274 S HALSTED ST,60611
393038,14,951.0,LOWES,5162 S HALSTED ST,60639
17656,48,890.0,TARGET,9824 S PULASKI RD,60603
984715,12,422.0,HOME DEPOT,4888 N MICHIGAN AVE,60609
374223,22,394.0,MCDONALD'S,2552 W NORTH AVE,60614
430368,29,972.0,WALGREENS,6227 N SOUTHPORT AVE,60612
175806,3,441.0,WALMART,2677 N CICERO AVE,60623
851680,4,225.0,TARGET,8301 W CHICAGO AVE,60624
692358,11,723.0,HONEYBEERS,7768 N BROADWAY,60634
983000,32,962.0,PORTILLOS,7279 N CICERO AVE,60629
31650,46,473.0,MARIANO'S,2927 S HALSTED ST,60620
598983,33,177.0,ADVANCE AUTO,5914 N SOUTHPORT AVE,60624
898530,2,874.0,DOMINICKS,4607 S STATE ST,60622
399002,45,303.0,WALGREENS,257 W IRVING PARK RD,60638
293426,45,746.0,JEWEL OSCO,6151 N BROADWAY,60628
479987,42,131.0,TARGET,7813 S PULASKI RD,60635
877330,31,289.0,LOU MALNATIS,5556 S ARCHER AVE,60639
47155,48,349.0,CVS PHARMACY,1375 W 43RD ST,60608
914103,23,166.0,CVS PHARMACY,8847 W IRVING PARK RD,60629
981581,50,763.0,LOU MALNATIS,6140 S COTTAGE GROVE AVE,60634
667951,40,146.0,KRAFT FOODS,6125 S COTTAGE GROVE AVE,60618
582005,46,908.0,GIORDANOS,4395 W CHICAGO AVE,60633
516875,19,375.0,HONEYBEERS,606 S ARCHER AVE,60626
713523,50,974.0,TARGET,3915 W IRVING PARK RD,60602
976669,28,440.0,PORTILLOS,5040 S COTTAGE GROVE AVE,60610
972915,34,741.0,COSTCO,5888 N CLARK ST,60631
22982,35,538.0,WALMART,7185 N MICHIGAN AVE,60629
864853,25,347.0,WALMART,3821 W MADISON ST,60607
250905,13,540.0,LOWES,1656 S HALSTED ST,60624
742791,19,916.0,SPEEDWAY,2883 S STATE ST,60620
162222,13,868.0,TRADER JOES,5713 S WABASH AVE,60616
838889,14,686.0,GIORDANOS,1086 W 63RD ST,60624
259414,20,520.0,ALDI,2474 W 63RD ST,60619
209590,9,502.0,HOME DEPOT,8129 N BROADWAY,60609
979727,9,495.0,DOMINICKS,4604 N BROADWAY,60611
679304,7,572.0,JEWEL OSCO,5972 W IRVING PARK RD,60616
508598,27,923.0,TRADER JOES,5905 S WABASH AVE,60627
177600,26,674.0,COSTCO,3814 W 43RD ST,60626
928048,50,142.0,REGGIE'S BAR & GRILL,8580 S COTTAGE GROVE AVE,60623
84113,32,946.0,GIORDANOS,6412 S ARCHER AVE,60615
794493,46,382.0,GIORDANOS,1584 S PULASKI RD,60633
176208,46,300.0,TONY'S FINER FOODS,2783 S COTTAGE GROVE AVE,60610
778479,5,137.0,WHOLE FOODS,4081 N WESTERN AVE,60601
464831,48,796.0,JEWEL OSCO,1227 N MICHIGAN AVE,60639
382751,48,190.0,PIZZA HUT,3456 W CHICAGO AVE,60627
381584,36,223.0,ALDI,9389 S ARCHER AVE,60638
645883,31,276.0,DOMINICKS,8089 S STATE ST,60617
879632,16,936.0,KRAFT FOODS,6679 N BROADWAY,60636
355970,3,760.0,BUONA BEEF,6643 N WESTERN AVE,60616
342791,7,374.0,TARGET,7284 N SOUTHPORT AVE,60623
403271,21,267.0,CELINA DELI,8422 S ARCHER AVE,60624
366153,43,442.0,CELINA DELI,4708 W NORTH AVE,60635
381219,30,457.0,TRADER JOES,6531 S PULASKI RD,60603
44267,33,419.0,SUBWAY,472 S HOUSTON AVE,60615
661103,4,391.0,CELINA DELI,8308 N WESTERN AVE,60618
500562,48,324.0,TRADER JOES,3988 W IRVING PARK RD,60611
264367,24,223.0,TARGET,278 N CICERO AVE,60630
479711,20,337.0,PORTILLOS,3798 N WESTERN AVE,60636
826033,40,723.0,CVS PHARMACY,7034 W DEVON AVE,60640
264412,28,637.0,STARBUCKS,6065 N SOUTHPORT AVE,60621
552069,37,578.0,NEYBOUR'S TAVERN,280 N CLARK ST,60614
983188,26,718.0,REGGIE'S BAR & GRILL,5331 N MICHIGAN AVE,60614
380014,35,600.0,WALGREENS,6327 W 43RD ST,60616
895511,48,418.0,SUBWAY,5203 N CICERO AVE,60623
902098,10,961.0,STARBUCKS,2409 W NORTH AVE,60621
224675,12,289.0,DOMINICKS,3027 S HALSTED ST,60620
700237,36,892.0,GIORDANOS,4075 N CLARK ST,60622
849136,35,998.0,PIZZA HUT,4489 W NORTH AVE,60630
238259,2,102.0,GIORDANOS,773 W NORTH AVE,60630
780719,2,880.0,SAMS CLUB,3262 S HALSTED ST,60622
37702,36,277.0,AUTOZONE,6856 W 43RD ST,60614
714488,15,723.0,CVS PHARMACY,5336 N SOUTHPORT AVE,60614
289730,49,765.0,SAMS CLUB,2217 S ARCHER AVE,60613
58338,43,525.0,WHOLE FOODS,582 W CHICAGO AVE,60624
284383,6,727.0,SHELL STATION,9525 N MICHIGAN AVE,60623
331237,19,420.0,MCDONALD'S,6258 N CICERO AVE,60635
924905,44,104.0,TONY'S FINER FOODS,9091 N MICHIGAN AVE,60635
847606,14,593.0,BP GAS STATION,5098 S ARCHER AVE,60609
410738,29,643.0,LOWES,1523 S HOUSTON AVE,60632
745270,50,705.0,TRADER JOES,9424 W MADISON ST,60628
734623,30,897.0,POTBELLY,8938 W 43RD ST,60605
890692,19,533.0,JEWEL OSCO,5165 W MADISON ST,60627
860454,43,102.0,POTBELLY,5613 W MADISON ST,60623
22672,45,229.0,NEYBOUR'S TAVERN,500 S WABASH AVE,60607
243505,29,438.0,WALGREENS,2356 N CLARK ST,60637
848928,17,415.0,DOMINICKS,3343 S STATE ST,60626
223517,28,755.0,BUONA BEEF,575 N MICHIGAN AVE,60622
61429,43,997.0,WHOLE FOODS,4595 N WESTERN AVE,60616
63433,4,771.0,POTBELLY,3860 S WABASH AVE,60630
459795,49,330.0,DUNKIN DONUTS,4064 S STATE ST,60630
1248,8,300.0,STARBUCKS,7084 W NORTH AVE,60607
72033,12,929.0,GIORDANOS,8347 S COTTAGE GROVE AVE,60634
364706,7,455.0,STARBUCKS,9843 W 63RD ST,60623
719537,33,173.0,STARBUCKS,6578 S WABASH AVE,60602
258369,43,616.0,SUBWAY,7759 W DEVON AVE,60610
480488,18,130.0,WALGREENS,8487 W CHICAGO AVE,60635
561521,19,276.0,MCDONALD'S,8836 N CICERO AVE,60639
673811,24,334.0,AUTOZONE,1368 W DEVON AVE,60624
967648,12,482.0,BP GAS STATION,6889 W NORTH AVE,60630
723139,38,943.0,MARIANO'S,7755 W DEVON AVE,60605
132869,48,264.0,MARIANO'S,8127 W 43RD ST,60613
265771,11,182.0,CVS PHARMACY,9895 W 43RD ST,60640
461591,46,427.0,MARIANO'S,5297 W NORTH AVE,60625
918344,4,588.0,WALGREENS,2521 W DEVON AVE,60603
576121,32,129.0,LOWES,5480 W NORTH AVE,60613
31628,27,502.0,STARBUCKS,6131 W 43RD ST,60612
715000,50,425.0,CELINA DELI,3573 W MADISON ST,60622
178453,12,313.0,MARIANO'S,1860 W NORTH AVE,60618
340200,25,197.0,CELINA DELI,7199 N MICHIGAN AVE,60640
50415,45,355.0,TRADER JOES,5139 N CLARK ST,60627
67341,15,585.0,ADVANCE AUTO,8212 S STATE ST,60621
736576,47,668.0,ALDI,3329 W DEVON AVE,60603
206685,28,555.0,SPEEDWAY,3663 S ARCHER AVE,60637
451653,30,800.0,HOME DEPOT,5041 S COTTAGE GROVE AVE,60602
141823,46,636.0,ALDI,6514 N MICHIGAN AVE,60624
888384,23,912.0,LOWES,1820 N MICHIGAN AVE,60638
976177,22,383.0,SHELL STATION,2208 S ARCHER AVE,60616
855377,19,723.0,COSTCO,2378 N CLARK ST,60605
716359,31,627.0,POTBELLY,6815 N BROADWAY,60614
498338,25,345.0,JEWEL OSCO,3297 W DEVON AVE,60602
126137,44,821.0,WHOLE FOODS,7865 W DEVON AVE,60610
382192,24,209.0,WALGREENS,8161 S PULASKI RD,60633
909159,35,938.0,DUNKIN DONUTS,5229 N CICERO AVE,60617
17263,11,136.0,TRADER JOES,9649 S PULASKI RD,60630
422174,6,522.0,GIORDANOS,4474 S WABASH AVE,60621
606855,41,931.0,LOU MALNATIS,7949 S STATE ST,60628
85957,38,171.0,LOU MALNATIS,921 W 43RD ST,60615
197752,5,993.0,PORTILLOS,8533 W MADISON ST,60611
21639,27,956.0,WALMART,6510 S HOUSTON AVE,60613
447647,22,,CELINA DELI,2550 S HALSTED ST,60628
654075,5,210.0,GIORDANOS,7965 W NORTH AVE,60610
447749,16,873.0,PORTILLOS,4277 W 63RD ST,60618
155701,42,144.0,ALDI,9648 W DEVON AVE,60638
155387,15,967.0,NEYBOUR'S TAVERN,5376 S HOUSTON AVE,60614
695034,19,797.0,PORTILLOS,9700 W DEVON AVE,60631
212654,32,956.0,WALMART,7366 W 63RD ST,60609
668130,5,157.0,DUNKIN DONUTS,6319 N BROADWAY,60621
645437,27,243.0,DOMINICKS,5352 S HALSTED ST,60639
564380,44,369.0,NEYBOUR'S TAVERN,8900 W 63RD ST,60619
67287,25,677.0,MCDONALD'S,7577 S HALSTED ST,60634
468772,24,992.0,GIORDANOS,480 N CICERO AVE,60608
279182,38,982.0,ALDI,5433 W MADISON ST,60621
820095,43,564.0,KRAFT FOODS,7945 N WESTERN AVE,60638
308248,43,187.0,GIORDANOS,1741 W MADISON ST,60602
964574,21,799.0,ALDI,3901 N MICHIGAN AVE,60615
822495,21,791.0,BUONA BEEF,7312 S WABASH AVE,60608
729568,27,968.0,SPEEDWAY,1015 N MICHIGAN AVE,60615
903012,29,533.0,WHOLE FOODS,7486 S COTTAGE GROVE AVE,60604
56854,10,264.0,SHELL STATION,1132 S WABASH AVE,60628
887183,43,771.0,STARBUCKS,2149 W DEVON AVE,60632
879906,8,864.0,COSTCO,2076 S HALSTED ST,60628
796192,15,138.0,ADVANCE AUTO,9406 S HOUSTON AVE,60624
254064,22,187.0,SAMS CLUB,8518 S HALSTED ST,60620
653393,37,697.0,PIZZA HUT,1934 N SOUTHPORT AVE,60632
57670,48,382.0,TRADER JOES,2280 W MADISON ST,60605
709309,43,738.0,WALGREENS,121 W 63RD ST,60640
541284,3,546.0,COSTCO,2043 W 43RD ST,60634
745155,24,920.0,MCDONALD'S,5438 N SOUTHPORT AVE,60601
723156,4,661.0,POTBELLY,885 W IRVING PARK RD,60618
645961,15,957.0,LOU MALNATIS,5268 S STATE ST,60640
536147,32,334.0,STARBUCKS,8940 S HOUSTON AVE,60614
333577,1,790.0,DOMINICKS,4002 N BROADWAY,60620
483613,4,156.0,CELINA DELI,9210 N CICERO AVE,60604
376021,12,536.0,HONEYBEERS,5492 N CLARK ST,60632
622220,31,290.0,DUNKIN DONUTS,9578 W MADISON ST,60624
387615,37,616.0,MCDONALD'S,2526 N CICERO AVE,60631
77095,24,485.0,SHELL STATION,2999 W 63RD ST,60615
571380,3,712.0,REGGIE'S BAR & GRILL,756 S PULASKI RD,60631
197121,12,139.0,BUONA BEEF,6810 S WABASH AVE,60633
941446,1,505.0,JEWEL OSCO,9226 S COTTAGE GROVE AVE,60632
565401,32,354.0,SPEEDWAY,8046 W MADISON ST,60627
421744,47,455.0,CVS PHARMACY,5751 N CICERO AVE,60632
831520,32,170.0,JEWEL OSCO,3284 N MICHIGAN AVE,60624
498502,4,960.0,CVS PHARMACY,8073 N CICERO AVE,60640
772362,21,637.0,DUNKIN DONUTS,2227 N BROADWAY,60611
1720,6,716.0,SEVEN ELEVEN,1612 N CICERO AVE,60608
919620,36,988.0,LOU MALNATIS,3771 N WESTERN AVE,60624
859929,7,161.0,SPEEDWAY,5724 W DEVON AVE,60621
251337,42,522.0,WHOLE FOODS,9989 S COTTAGE GROVE AVE,60610
200438,45,238.0,MCDONALD'S,7197 W DEVON AVE,60628
765491,28,510.0,COSTCO,4426 S WABASH AVE,60602
481220,34,887.0,DOMINICKS,1874 W 63RD ST,60631
497067,3,902.0,LOU MALNATIS,8731 W NORTH AVE,60624
311457,31,811.0,WALGREENS,1393 W 43RD ST,60616
588513,43,787.0,MARIANO'S,2535 W MADISON ST,60620
354427,10,533.0,WALMART,8957 N WESTERN AVE,60620
448855,50,696.0,AUTOZONE,3206 W MADISON ST,60602
539236,11,309.0,SPEEDWAY,4021 W DEVON AVE,60603
271294,32,254.0,WALGREENS,3244 N BROADWAY,60626
291577,29,835.0,REGGIE'S BAR & GRILL,4365 S ARCHER AVE,60638
588455,7,124.0,SHELL STATION,1305 S WABASH AVE,60640
683502,21,308.0,ADVANCE AUTO,5586 W DEVON AVE,60617
126556,11,146.0,MCDONALD'S,8174 S ARCHER AVE,60639
502057,48,563.0,NEYBOUR'S TAVERN,4646 S WABASH AVE,60630
842474,3,896.0,DUNKIN DONUTS,8887 S WABASH AVE,60602
812443,19,812.0,SAMS CLUB,4633 W IRVING PARK RD,60623
97467,37,779.0,COSTCO,4677 W 43RD ST,60640
624599,39,489.0,WHOLE FOODS,3151 N WESTERN AVE,60605
10978,19,626.0,SPEEDWAY,8469 N SOUTHPORT AVE,60626
849695,25,311.0,HOME DEPOT,6874 S HOUSTON AVE,60637
878940,25,356.0,POTBELLY,8080 W CHICAGO AVE,60608
885377,41,470.0,MCDONALD'S,3357 S STATE ST,60617
743949,30,288.0,BP GAS STATION,1549 W MADISON ST,60628
911913,39,461.0,SUBWAY,2408 W IRVING PARK RD,60621
410873,5,366.0,TONY'S FINER FOODS,3232 W IRVING PARK RD,60615
457439,4,621.0,WHOLE FOODS,6115 S COTTAGE GROVE AVE,60624
522306,7,155.0,LOU MALNATIS,1496 W 43RD ST,60614
715843,19,107.0,WALMART,4428 S HOUSTON AVE,60608
30923,42,461.0,POTBELLY,1660 W IRVING PARK RD,60637
769994,6,792.0,TARGET,9010 S STATE ST,60627
731776,33,204.0,BUONA BEEF,5924 W IRVING PARK RD,60610
975897,12,618.0,STARBUCKS,8510 S HOUSTON AVE,60615
942470,46,602.0,KRAFT FOODS,7360 N CLARK ST,60611
273033,40,905.0,HOME DEPOT,2434 W 43RD ST,60625
408837,36,293.0,SHELL STATION,7496 N CICERO AVE,60626
837156,34,106.0,DUNKIN DONUTS,607 S PULASKI RD,60609
77501,2,931.0,DUNKIN DONUTS,3958 S PULASKI RD,60632
27973,12,769.0,CVS PHARMACY,9781 W 63RD ST,60625
163870,24,942.0,POTBELLY,2182 N CICERO AVE,60636
194515,42,729.0,KRAFT FOODS,2533 N MICHIGAN AVE,60621
490361,43,802.0,KRAFT FOODS,8886 N WESTERN AVE,60603
17180,3,379.0,TRADER JOES,3225 S ARCHER AVE,60617
747282,8,944.0,WHOLE FOODS,7453 S WABASH AVE,60614
360621,34,133.0,ALDI,5941 W MADISON ST,60615
290247,18,343.0,BUONA BEEF,5035 W 63RD ST,60629
493583,46,319.0,HONEYBEERS,4446 S ARCHER AVE,60640
71376,31,833.0,LOU MALNATIS,8766 W MADISON ST,60615
418132,17,428.0,ALDI,5688 N CICERO AVE,60624
981457,23,833.0,NEYBOUR'S TAVERN,7460 W DEVON AVE,60631
19591,39,247.0,TONY'S FINER FOODS,8098 N CLARK ST,60615
971573,30,195.0,BUONA BEEF,6800 W CHICAGO AVE,60636
982733,6,290.0,DUNKIN DONUTS,9581 W MADISON ST,60633
320437,17,228.0,SAMS CLUB,4780 W 63RD ST,60603
397026,12,382.0,DOMINICKS,5847 W MADISON ST,60604
47432,26,153.0,WALMART,5535 W CHICAGO AVE,60621
601815,21,479.0,HOME DEPOT,6024 S ARCHER AVE,60630
112928,18,953.0,WHOLE FOODS,5641 N CICERO AVE,60640
639265,46,972.0,LOU MALNATIS,3548 W IRVING PARK RD,60633
415656,20,256.0,ALDI,1050 N CICERO AVE,60626
438737,27,943.0,STARBUCKS,6368 W CHICAGO AVE,60621
579774,42,310.0,LOU MALNATIS,7655 W 43RD ST,60626
504033,38,168.0,STARBUCKS,9600 S HALSTED ST,60635
797597,16,565.0,CELINA DELI,5301 W IRVING PARK RD,60615
462880,5,467.0,LOWES,3722 W DEVON AVE,60607
457711,35,413.0,DUNKIN DONUTS,588 W CHICAGO AVE,60629
297979,27,148.0,NEYBOUR'S TAVERN,2934 S HALSTED ST,60616
852348,41,251.0,WHOLE FOODS,7453 N WESTERN AVE,60609
627075,19,583.0,REGGIE'S BAR & GRILL,135 N CLARK ST,60616
413387,23,992.0,JEWEL OSCO,2870 N CICERO AVE,60608
798750,37,614.0,SUBWAY,7517 S HALSTED ST,60629
835485,50,678.0,WALGREENS,1632 S STATE ST,60615
281945,46,287.0,HOME DEPOT,1292 S HOUSTON AVE,60615
861684,24,656.0,JEWEL OSCO,1443 W 63RD ST,60635
342289,36,208.0,STARBUCKS,984 W NORTH AVE,60628
991637,7,178.0,LOWES,8474 W IRVING PARK RD,60635
631657,13,371.0,BP GAS STATION,9571 S ARCHER AVE,60639
381307,20,793.0,PORTILLOS,4500 S HOUSTON AVE,60623
497942,7,817.0,STARBUCKS,2630 N WESTERN AVE,60638
45392,10,267.0,PORTILLOS,8444 N BROADWAY,60629
363933,4,833.0,KRAFT FOODS,6509 S PULASKI RD,60623
969483,42,714.0,CVS PHARMACY,7102 W MADISON ST,60631
793655,31,391.0,CELINA DELI,6552 N CICERO AVE,60637
878593,4,878.0,BP GAS STATION,8941 N CICERO AVE,60619
98070,31,927.0,BP GAS STATION,8912 W DEVON AVE,60628
271120,16,570.0,SAMS CLUB,7348 W 63RD ST,60625
366606,42,640.0,LOU MALNATIS,6275 N CLARK ST,60611
903479,7,145.0,ADVANCE AUTO,1196 N SOUTHPORT AVE,60614
794298,5,815.0,SUBWAY,9499 W CHICAGO AVE,60613
140799,6,972.0,SEVEN ELEVEN,4407 N WESTERN AVE,60620
610694,2,655.0,PIZZA HUT,7129 N CLARK ST,60628
49161,31,697.0,POTBELLY,5850 N SOUTHPORT AVE,60630
238177,34,478.0,LOU MALNATIS,8379 S COTTAGE GROVE AVE,60613
731929,28,732.0,AUTOZONE,8749 S COTTAGE GROVE AVE,60639
912197,49,227.0,HOME DEPOT,8369 W CHICAGO AVE,60617
231663,5,183.0,ADVANCE AUTO,9104 N CLARK ST,60604
823526,43,744.0,TARGET,1737 W CHICAGO AVE,60603
206408,39,970.0,AUTOZONE,8595 S HOUSTON AVE,60640
30688,13,648.0,CVS PHARMACY,8890 W DEVON AVE,60608
383225,18,662.0,PIZZA HUT,9185 W IRVING PARK RD,60630
631037,11,422.0,AUTOZONE,4565 N BROADWAY,60634
690191,34,693.0,BP GAS STATION,6488 S ARCHER AVE,60637
12405,1,821.0,REGGIE'S BAR & GRILL,6757 W NORTH AVE,60629
243826,32,632.0,DOMINICKS,5958 W IRVING PARK RD,60616
800406,45,732.0,WALGREENS,7751 W DEVON AVE,60618
94366,43,746.0,WHOLE FOODS,7367 S STATE ST,60605
793853,43,907.0,LOWES,5332 S PULASKI RD,60636
